価格,階数,築年月,占有面積,間取り,交通,所在地,平米単価,管理費,修繕積立金,建物名,建物構造,総戸数,駐車場,バイク置き場,ペット,土地権利,管理形態
280万円,5階建 / 3階,"1983年3月
(築38年3ヶ月)",16.15m²,ワンルーム,"
			京王線 / 高幡不動駅 徒歩10分
							（電車ルート案内）
										
				多摩モノレール / 程久保駅 徒歩16分
									（電車ルート案内）
														
				多摩モノレール / 高幡不動駅 徒歩12分
									（電車ルート案内）
									","
			東京都日野市南平１丁目
							（地図を見る）
					",17.34万円,"5,700円","2,100円",メゾン・ド・ノア南平,ＲＣ,77戸,無,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
290万円,5階建 / 1階,"1992年4月
(築29年2ヶ月)",18.48m²,１Ｋ,"
			ＪＲ中央線 / 高尾駅【バス】 11分 共立女子学園南口 停歩1分
							（電車ルート案内）
										
				京王高尾線 / 高尾駅【バス】 11分 共立女子学園南口 停歩1分
									（電車ルート案内）
														
				ＪＲ中央線 / 高尾駅【バス】 11分 共立女子学園南口 停歩1分
									（電車ルート案内）
									","
			東京都八王子市長房町
							（地図を見る）
					",15.70万円,"5,490円","3,900円",オールメゾン八王子,ＲＣ,33戸,空無,無,"
									－
							",所有権,"
									全部委託・巡回管理
						"
290万円,5階建 / 1階,"1992年4月
(築29年2ヶ月)",19.14m²,１Ｋ,"
			ＪＲ中央線 / 高尾駅【バス】 11分 共立女子学園南口 停歩1分
							（電車ルート案内）
										
				京王高尾線 / 高尾駅【バス】 11分 共立女子学園南口 停歩1分
									（電車ルート案内）
														
				ＪＲ中央線 / 高尾駅【バス】 11分 共立女子学園南口 停歩1分
									（電車ルート案内）
									","
			東京都八王子市長房町
							（地図を見る）
					",15.16万円,"5,670円","4,030円",オールメゾン八王子,ＲＣ,33戸,空無,無,"
									－
							",所有権,"
									全部委託・巡回管理
						"
300万円,3階建 / 3階,"1991年7月
(築29年11ヶ月)",19.11m²,１Ｋ,"
			ＪＲ青梅線 / 河辺駅 徒歩8分
							（電車ルート案内）
										
				ＪＲ青梅線 / 小作駅 徒歩23分
									（電車ルート案内）
												","
			東京都青梅市河辺町４丁目
							（地図を見る）
					",15.70万円,"6,000円","2,000円",リヴアパートメント河辺,ＲＣ,－,－,－,"
									－
							",所有権,"
									自主管理
						"
300万円,3階建 / 3階,"1980年8月
(築40年10ヶ月)",19.22m²,ワンルーム,"
			ＪＲ八高線 / 北八王子駅 徒歩16分
							（電車ルート案内）
										
				京王線 / 京王八王子駅 徒歩21分
									（電車ルート案内）
														
				ＪＲ中央線 / 八王子駅 徒歩26分
									（電車ルート案内）
									","
			東京都八王子市富士見町
					",15.61万円,"5,000円","1,000円",ヴィラ・シャルダン 301,ＲＣ,7戸,－,－,"
									－
							",所有権,"
									自主管理
						"
300万円,5階建 / 3階,"1991年3月
(築30年3ヶ月)",17.01m²,ワンルーム,"
			ＪＲ中央線 / 西八王子駅 徒歩16分
							（電車ルート案内）
										
				ＪＲ中央線 / 八王子駅 徒歩27分
									（電車ルート案内）
														
				京王線 / 京王八王子駅 徒歩29分
									（電車ルート案内）
									","
			東京都八王子市元本郷町１丁目
							（地図を見る）
					",17.64万円,"6,600円","3,420円", ,ＲＣ,84戸,空無,空無,"
															犬猫不可規定あり												",所有権,"
									全部委託・日勤管理（ユニオン・シティーサービス(株)）
						"
300万円,7階建 / 3階,"1990年7月
(築30年11ヶ月)",16.36m²,１Ｋ,"
			京王線 / 平山城址公園駅 徒歩7分
							（電車ルート案内）
										
				京王線 / 南平駅 徒歩14分
									（電車ルート案内）
												","
			東京都日野市平山３丁目
							（地図を見る）
					",18.34万円,"8,440円","6,400円",ＭＡＣ平山城址公園コート,ＲＣ,－,－,－,"
									－
							",所有権,"
									巡回管理
						"
310万円,地上7階地下1階建 / 3階,"1992年4月
(築29年2ヶ月)",23.08m²,１Ｋ,"
			京王高尾線 / めじろ台駅 徒歩12分
							（電車ルート案内）
										
				京王高尾線 / 山田駅 徒歩10分
									（電車ルート案内）
														
				京王高尾線 / 山田駅 徒歩10分
									（電車ルート案内）
									","
			東京都八王子市山田町
							（地図を見る）
					",13.44万円,"10,200円","5,800円",ライオンズマンション八王子めじろ台,ＲＣ,－,"有 12,000円/月",無,"
									－
							",所有権,"
									全部委託・巡回管理（株式会社大京アステージ）
						"
310万円,5階建 / 3階,"1992年3月
(築29年3ヶ月)",17.74m²,１Ｋ,"
			ＪＲ中央線 / 豊田駅 徒歩13分
							（電車ルート案内）
										
				京王線 / 平山城址公園駅 徒歩26分
									（電車ルート案内）
														
				ＪＲ八高線 / 北八王子駅 徒歩23分
									（電車ルート案内）
									","
			東京都日野市旭が丘３丁目
							（地図を見る）
					",17.48万円,"7,900円","5,320円",日神パレステージ豊田,ＲＣ,－,－,－,"
									－
							",所有権,"
									全部委託・日勤管理（日神管財株式会社）
						"
310万円,5階建 / 1階,"1988年6月
(築33年)",19.60m²,１Ｋ,"
			ＪＲ青梅線 / 福生駅 徒歩10分
							（電車ルート案内）
										
				ＪＲ八高線 / 東福生駅 徒歩9分
									（電車ルート案内）
												","
			東京都福生市武蔵野台２丁目
					",15.82万円,"7,580円","3,180円",クリオ福生ファースト,ＲＣ,63戸,無,－,"
									－
							",所有権,"
									日勤管理
						"
320万円,6階建 / 4階,"1991年8月
(築29年10ヶ月)",16.20m²,ワンルーム,"
			ＪＲ青梅線 / 東青梅駅 徒歩4分
							（電車ルート案内）
											","
			東京都青梅市東青梅３丁目
							（地図を見る）
					",19.76万円,"4,600円","2,190円",エスカイア東青梅第５,ＲＣ,60戸,空無,有,"
									－
							",所有権,"
									全部委託・巡回管理
						"
320万円,4階建 / 2階,"1989年1月
(築32年5ヶ月)",19.50m²,１Ｋ,"
			京王高尾線 / めじろ台駅 徒歩12分
							（電車ルート案内）
										
				ＪＲ中央線 / 西八王子駅 徒歩14分
									（電車ルート案内）
														
				ＪＲ中央線 / 西八王子駅 徒歩14分
									（電車ルート案内）
									","
			東京都八王子市散田町５丁目
							（地図を見る）
					",16.42万円,"3,000円","4,000円",ウイング散田町,ＲＣ,20戸,無,有,"
									－
							",所有権,"
									一部委託・巡回管理
						"
320万円,8階建 / 3階,"1993年11月
(築27年7ヶ月)",15.59m²,ワンルーム,"
			ＪＲ中央線 / 西八王子駅【バス】 20分 四谷北 停歩2分
							（電車ルート案内）
											","
			東京都八王子市四谷町
							（地図を見る）
					",20.53万円,"4,900円","2,000円",共立リライアンス四谷　中古マンション,ＳＲＣ,136戸,空無,－,"
									－
							",所有権,"
									一部委託・巡回管理
						"
