価格,階数,築年月,占有面積,間取り,交通,所在地,平米単価,管理費,修繕積立金,建物名,建物構造,総戸数,駐車場,バイク置き場,ペット,土地権利,管理形態
"1,180万円",5階建 / 4階,"1974年3月
(築47年3ヶ月)",30.60m²,１ＤＫ,"
			京王井の頭線 / 高井戸駅 徒歩6分
							（電車ルート案内）
											","
			東京都杉並区高井戸東３丁目
							（地図を見る）
					",38.57万円,"7,000円","3,000円",高井戸グリーンハイツ 4F,ＲＣ,－,－,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
"1,180万円",地上6階地下1階建 / 4階,"1992年3月
(築29年3ヶ月)",17.28m²,ワンルーム,"
			東京メトロ丸ノ内方南支線 / 方南町駅 徒歩3分
							（電車ルート案内）
											","
			東京都杉並区方南２丁目
							（地図を見る）
					",68.29万円,"7,600円","5,500円",ライオンズマンション方南町第２,ＲＣ,55戸,－,－,"
									－
							",所有権,"
									自主管理
						"
"1,180万円",5階建 / 2階,"1992年3月
(築29年3ヶ月)",18.83m²,ワンルーム,"
			東京メトロ丸ノ内方南支線 / 方南町駅 徒歩5分
							（電車ルート案内）
											","
			東京都杉並区堀ノ内２丁目
							（地図を見る）
					",62.67万円,"8,800円","10,700円",トーシン・フェニックスマンション方南町,ＲＣ,23戸,無,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
"1,200万円",4階建 / 2階,"1966年5月
(築55年1ヶ月)",45.43m²,３ＤＫ,"
			ＪＲ武蔵野線 / 北府中駅 徒歩11分
							（電車ルート案内）
										
				京王線 / 分倍河原駅 徒歩14分
									（電車ルート案内）
														
				ＪＲ南武線 / 分倍河原駅 徒歩14分
									（電車ルート案内）
									","
			東京都府中市日鋼町
							（地図を見る）
					",26.42万円,"4,000円","7,500円",府中日鋼団地　３０号棟,ＲＣ,－,"有 10,000円/月",－,"
									－
							",所有権,"
									自主管理
						"
"1,200万円",4階建 / 2階,"1966年5月
(築55年1ヶ月)",45.43m²,３ＤＫ,"
			ＪＲ武蔵野線 / 北府中駅 徒歩11分
							（電車ルート案内）
											","
			東京都府中市日鋼町
					",26.42万円,"4,000円","7,500円",府中日鋼団地　３０号棟,ＲＣ,702戸,"有 10,000円/月","有 1,000円/月","
									－
							",所有権,"
									自主管理
						"
"1,200万円",4階建 / 2階,"1966年5月
(築55年1ヶ月)",45.43m²,３ＤＫ,"
			ＪＲ武蔵野線 / 北府中駅 徒歩11分
							（電車ルート案内）
										
				ＪＲ南武線 / 分倍河原駅 徒歩16分
									（電車ルート案内）
														
				京王線 / 分倍河原駅 徒歩16分
									（電車ルート案内）
									","
			東京都府中市日鋼町
							（地図を見る）
					",26.42万円,"4,000円","7,500円",府中日鋼団地３０号棟,ＲＣ,702戸,"有 10,000円/月",－,"
															相談												",所有権,"
									自主管理
						"
"1,200万円",4階建 / 4階,"1970年9月
(築50年9ヶ月)",50.85m²,２ＬＤＫ,"
			ＪＲ南武線 / 分倍河原駅 徒歩12分
							（電車ルート案内）
										
				ＪＲ武蔵野線 / 北府中駅 徒歩14分
									（電車ルート案内）
														
				京王線 / 府中駅 徒歩18分
									（電車ルート案内）
									","
			東京都府中市日鋼町
							（地図を見る）
					",23.60万円,"4,000円","7,500円", ,ＲＣ,702戸,"有 10,000円/月",有,"
									－
							",所有権,"
									自主管理
						"
"1,200万円",9階建 / 3階,"1981年3月
(築40年3ヶ月)",21.63m²,ワンルーム,"
			都営三田線 / 春日駅 徒歩7分
							（電車ルート案内）
										
				都営三田線 / 白山駅 徒歩7分
									（電車ルート案内）
														
				東京メトロ南北線 / 後楽園駅 徒歩9分
									（電車ルート案内）
									","
			東京都文京区白山２丁目
							（地図を見る）
					",55.48万円,"13,290円","8,640円",ライオンズマンション白山第３ 3階部分,ＳＲＣ,25戸,－,－,"
									－
							",所有権,"
									全部委託・巡回管理（ユニオンシティサービス株式会社）
						"
"1,200万円",5階建 / 5階,"1987年5月
(築34年1ヶ月)",50.60m²,３ＤＫ,"
			小田急小田原線 / 鶴川駅 徒歩10分
							（電車ルート案内）
											","
			東京都町田市金井町
							（地図を見る）
					",23.72万円,"9,100円","10,920円",セントヒルズ鶴川,ＲＣ,33戸,無,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"1,200万円",地上10階地下1階建 / 6階,"1971年5月
(築50年1ヶ月)",13.42m²,ワンルーム,"
			東京メトロ千代田線 / 赤坂駅 徒歩8分
							（電車ルート案内）
										
				都営大江戸線 / 六本木駅 徒歩9分
									（電車ルート案内）
														
				東京メトロ千代田線 / 乃木坂駅 徒歩9分
									（電車ルート案内）
									","
			東京都港区赤坂９丁目
					",89.42万円,"13,193円","2,638円",赤坂レジデンシャルホテル,ＳＲＣ,683戸,空無,空無,"
									－
							",所有権,"
									自主管理
						"
"1,200万円",11階建 / 8階,"1985年5月
(築36年1ヶ月)",13.55m²,ワンルーム,"
			東京メトロ南北線 / 麻布十番駅 徒歩8分
							（電車ルート案内）
										
				東京メトロ南北線 / 白金高輪駅 徒歩8分
									（電車ルート案内）
												","
			東京都港区南麻布２丁目
							（地図を見る）
					",88.57万円,"7,482円","9,660円",シティプラザ南麻布,ＳＲＣ,40戸,－,－,"
									－
							",旧法賃借権,"
									全部委託・日勤管理
						"
"1,200万円",6階建 / 3階,"1991年3月
(築30年3ヶ月)",52.72m²,１ＳＬＤＫ,"
			西武拝島線 / 西武立川駅 徒歩22分
							（電車ルート案内）
										
				西武拝島線 / 武蔵砂川駅 徒歩34分
									（電車ルート案内）
														
				ＪＲ青梅線 / 昭島駅 徒歩38分
									（電車ルート案内）
									","
			東京都武蔵村山市伊奈平４丁目
					",22.77万円,"10,800円","10,020円",ライオンズマンション西武立川,ＲＣ,58戸,"有 9,000円/月",－,"
															相談												",所有権,"
									全部委託・巡回管理
						"
"1,200万円",6階建 / 3階,"1991年3月
(築30年3ヶ月)",52.72m²,１ＳＬＤＫ,"
			西武拝島線 / 西武立川駅 徒歩22分
							（電車ルート案内）
											","
			東京都武蔵村山市伊奈平４丁目
					",22.77万円,"10,800円","10,020円",ライオンズマンション西武立川,ＲＣ,58戸,空無,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"1,200万円",6階建 / 3階,"1991年3月
(築30年3ヶ月)",52.72m²,１ＳＬＤＫ,"
			西武拝島線 / 西武立川駅 徒歩22分[バス利用可] バス 5分 伊奈平公園 停歩6分
							（電車ルート案内）
											","
			東京都武蔵村山市伊奈平４丁目
							（地図を見る）
					",22.77万円,"10,800円","10,020円", ,ＲＣ,58戸,"有 9,000円/月",－,"
															相談												",所有権,"
									全部委託・巡回管理（株式会社大京アステージ）
						"
"1,215万円",5階建 / 3階,"1981年7月
(築39年11ヶ月)",21.12m²,１Ｋ,"
			都営大江戸線 / 西新宿五丁目駅 徒歩4分
							（電車ルート案内）
										
				ＪＲ山手線 / 新宿駅 徒歩18分
									（電車ルート案内）
														
				京王線 / 初台駅 徒歩15分
									（電車ルート案内）
									","
			東京都新宿区西新宿４丁目
							（地図を見る）
					",57.53万円,"10,800円","10,240円",ライオンズマンション西新宿第６,ＲＣ,25戸,－,－,"
									－
							",所有権,"
									全部委託・巡回管理（株式会社穴吹ハウジングサービス）
						"
"1,220万円",5階建 / 4階,"1990年7月
(築30年11ヶ月)",16.38m²,ワンルーム,"
			東急大井町線 / 中延駅 徒歩4分
							（電車ルート案内）
										
				都営浅草線 / 中延駅 徒歩4分
									（電車ルート案内）
												","
			東京都品川区中延６丁目
							（地図を見る）
					",74.49万円,"6,000円","7,000円",マリオン品川中延,ＲＣ,26戸,無,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
"1,220万円",4階建 / 4階,"1990年3月
(築31年3ヶ月)",17.45m²,１Ｋ,"
			東京メトロ丸ノ内線 / 新中野駅 徒歩3分
							（電車ルート案内）
										
				ＪＲ中央線 / 中野駅 徒歩10分
									（電車ルート案内）
														
				東京メトロ東西線 / 中野駅 徒歩10分
									（電車ルート案内）
									","
			東京都中野区中央４丁目
							（地図を見る）
					",69.92万円,"6,500円","7,100円",プレール新中野,ＲＣ,37戸,－,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
"1,220万円",4階建 / 4階,"1990年3月
(築31年3ヶ月)",17.45m²,ワンルーム,"
			東京メトロ丸ノ内線 / 新中野駅 徒歩4分
							（電車ルート案内）
										
				ＪＲ中央線 / 中野駅 徒歩11分
									（電車ルート案内）
												","
			東京都中野区中央４丁目
							（地図を見る）
					",69.92万円,"6,500円","7,100円",プレール新中野,ＲＣ,37戸,無,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
"1,220万円",8階建 / 2階,"1995年1月
(築26年5ヶ月)",63.02m²,３ＬＤＫ,"
			京王相模原線 / 京王堀之内駅 徒歩20分
							（電車ルート案内）
											","
			東京都八王子市下柚木２丁目
							（地図を見る）
					",19.36万円,"15,400円","13,860円",ライオンズマンション京王堀之内,ＲＣ,27戸,－,－,"
															飼育細則有												",所有権,"
									全部委託・巡回管理（㈱大京アステージ）
						"
"1,230万円",11階建 / 5階,"1973年11月
(築47年7ヶ月)",30.41m²,１ＤＫ,"
			京急空港線 / 穴守稲荷駅 徒歩2分
							（電車ルート案内）
											","
			東京都大田区羽田４丁目
							（地図を見る）
					",40.45万円,"5,600円","4,480円",三洋キャッスルハイツ,ＳＲＣ,134戸,有,－,"
									－
							",所有権,"
									日勤管理
						"
"1,230万円",4階建 / 2階,"1988年10月
(築32年8ヶ月)",21.60m²,ワンルーム,"
			東急大井町線 / 上野毛駅 徒歩7分
							（電車ルート案内）
										
				東急田園都市線 / 二子玉川駅 徒歩17分
									（電車ルート案内）
														
				東急大井町線 / 等々力駅 徒歩18分
									（電車ルート案内）
									","
			東京都世田谷区上野毛１丁目
					",56.95万円,"8,800円","9,504円",メインステージ上野毛,ＲＣ,14戸,無,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
"1,230万円",10階建 / 2階,"1983年11月
(築37年7ヶ月)",13.39m²,ワンルーム,"
			東急田園都市線 / 池尻大橋駅 徒歩9分
							（電車ルート案内）
										
				東急田園都市線 / 三軒茶屋駅 徒歩9分
									（電車ルート案内）
												","
			東京都世田谷区三宿１丁目
							（地図を見る）
					",91.86万円,"5,000円","5,100円",メゾン・ド・リベラル,ＳＲＣ,56戸,無,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
"1,230万円",5階建 / 1階,"1966年11月
(築54年7ヶ月)",49.36m²,２ＤＫ,"
			多摩モノレール / 泉体育館駅 徒歩9分
							（電車ルート案内）
											","
			東京都立川市幸町２丁目
							（地図を見る）
					",24.92万円,"4,500円","10,200円",西けやき台団地　７号棟,ＲＣ,240戸,－,－,"
									－
							",所有権,"
									一部委託・日勤管理
						"
"1,230万円",地上10階地下1階建 / 7階,"1971年5月
(築50年1ヶ月)",13.80m²,ワンルーム,"
			都営大江戸線 / 六本木駅 徒歩8分
							（電車ルート案内）
										
				東京メトロ千代田線 / 赤坂駅 徒歩7分
									（電車ルート案内）
														
				東京メトロ千代田線 / 乃木坂駅 徒歩7分
									（電車ルート案内）
									","
			東京都港区赤坂９丁目
							（地図を見る）
					",89.14万円,"13,193円","2,638円",秀和赤坂レジデンシャルホテル,ＲＣ,710戸,－,－,"
									－
							",所有権,"
									自主管理
						"
"1,230万円",3階建 / 3階,"1975年1月
(築46年5ヶ月)",21.59m²,１ＤＫ,"
			東急東横線 / 学芸大学駅 徒歩13分
							（電車ルート案内）
										
				東急東横線 / 祐天寺駅 徒歩15分
									（電車ルート案内）
												","
			東京都目黒区中央町１丁目
							（地図を見る）
					",56.98万円,"8,000円",－,学芸大ゴールデンハイツ,ＲＣ,15戸,無,－,"
									－
							",所有権,"
									自主管理
						"
"1,240万円",8階建 / 3階,"1987年7月
(築33年11ヶ月)",23.23m²,１Ｋ,"
			西武池袋線 / 石神井公園駅 徒歩3分
							（電車ルート案内）
										
				西武新宿線 / 上井草駅 徒歩29分
									（電車ルート案内）
												","
			東京都練馬区石神井町３丁目
							（地図を見る）
					",53.38万円,"6,000円","5,530円",302,ＲＣ,45戸,無,"有 3,000円/月","
									－
							",所有権,"
									全部委託・日勤管理（株式会社東急コミュニティー）
						"
"1,240万円",8階建 / 3階,"1987年7月
(築33年11ヶ月)",23.23m²,１Ｋ,"
			西武池袋線 / 石神井公園駅 徒歩3分
							（電車ルート案内）
										
				西武池袋線 / 練馬高野台駅 徒歩14分
									（電車ルート案内）
														
				西武池袋線 / 大泉学園駅 徒歩23分
									（電車ルート案内）
									","
			東京都練馬区石神井町３丁目
							（地図を見る）
					",53.38万円,"6,000円","5,530円",グローリア初穂石神井公園,ＲＣ,45戸,無,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"1,240万円",3階建 / 2階,"1983年3月
(築38年3ヶ月)",21.82m²,１Ｋ,"
			東急東横線 / 祐天寺駅 徒歩17分
							（電車ルート案内）
										
				東急目黒線 / 武蔵小山駅 徒歩22分
									（電車ルート案内）
														
				ＪＲ山手線 / 目黒駅 徒歩20分
									（電車ルート案内）
									","
			東京都目黒区目黒４丁目
							（地図を見る）
					",56.83万円,"7,170円","5,330円",マック目黒コート,ＲＣ,－,－,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
"1,250万円",14階建 / 9階,"1977年9月
(築43年9ヶ月)",68.04m²,３ＬＤＫ,"
			ＪＲ千代田・常磐緩行線 / 亀有駅【バス】 10分 中川小学校 停歩5分
							（電車ルート案内）
											","
			東京都足立区大谷田２丁目
							（地図を見る）
					",18.38万円,"6,310円","12,200円",ボナハイツ中川　３号棟,ＳＲＣ,499戸,空無,－,"
															要飼育申請・細則有												",所有権,"
									全部委託・日勤管理
						"
"1,250万円",5階建 / 5階,"1982年3月
(築39年3ヶ月)",41.33m²,２ＤＫ,"
			都営三田線 / 新高島平駅 徒歩12分
							（電車ルート案内）
											","
			東京都板橋区新河岸３丁目
							（地図を見る）
					",30.25万円,"13,400円","14,000円",サンライフ新高島平,ＲＣ,23戸,無,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"1,250万円",11階建 / 8階,"1976年2月
(築45年4ヶ月)",37.80m²,２ＤＫ,"
			東京メトロ東西線 / 葛西駅 徒歩12分
							（電車ルート案内）
											","
			東京都江戸川区中葛西１丁目
							（地図を見る）
					",33.07万円,"8,250円","7,780円",カーサ第一宇喜田,ＳＲＣ,307戸,空無,－,"
									－
							",所有権,"
									全部委託・常駐管理
						"
"1,250万円",11階建 / 8階,"1996年2月
(築25年4ヶ月)",60.11m²,３ＬＤＫ,"
			ＪＲ青梅線 / 河辺駅【バス】 2分 東青梅４丁目バス 停歩5分
							（電車ルート案内）
										
				ＪＲ青梅線 / 東青梅駅 徒歩15分
									（電車ルート案内）
														
				ＪＲ青梅線 / 青梅駅【バス】 11分 東青梅4丁目バス 停歩5分
									（電車ルート案内）
									","
			東京都青梅市千ヶ瀬町１丁目
							（地図を見る）
					",20.80万円,"10,820円","10,820円",ライオンズガーデン河辺リバーサイド,ＲＣ,134戸,空無,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"1,280万円",7階建 / 5階,"1973年3月
(築48年3ヶ月)",25.05m²,ワンルーム,"
			京成押上線 / 押上駅 徒歩10分
							（電車ルート案内）
										
				都営浅草線 / 押上駅 徒歩10分
									（電車ルート案内）
														
				東京メトロ半蔵門線 / 押上駅 徒歩10分
									（電車ルート案内）
									","
			東京都墨田区向島２丁目
							（地図を見る）
					",51.10万円,"8,100円","2,740円",メイゾン向島,ＳＲＣ,54戸,－,－,"
									－
							",所有権,"
									全部委託・日勤管理（(株)大京アステージ）
						"
"1,280万円",地上9階地下1階建 / 6階,"1991年7月
(築29年11ヶ月)",18.97m²,ワンルーム,"
			東武伊勢崎線 / 曳舟駅 徒歩9分
							（電車ルート案内）
										
				東京メトロ半蔵門線 / 押上駅 徒歩11分
									（電車ルート案内）
														
				東武伊勢崎線 / とうきょうスカイツリー駅 徒歩12分
									（電車ルート案内）
									","
			東京都墨田区向島５丁目
							（地図を見る）
					",67.48万円,"7,500円","2,500円",マリオン向島,ＳＲＣ,34戸,無,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"1,280万円",5階建 / 3階,"1984年11月
(築36年7ヶ月)",17.12m²,１Ｋ,"
			東急目黒線 / 奥沢駅 徒歩3分
							（電車ルート案内）
										
				東急東横線 / 自由が丘駅 徒歩9分
									（電車ルート案内）
														
				東急東横線 / 田園調布駅 徒歩8分
									（電車ルート案内）
									","
			東京都世田谷区奥沢３丁目
					",74.77万円,"6,500円","5,500円", ,ＲＣ,45戸,－,有,"
									－
							",所有権,"
									全部委託・巡回管理（東京ディフェンス株式会社）
						"
"1,280万円",4階建 / 4階,"1974年8月
(築46年10ヶ月)",29.59m²,１ＤＫ,"
			京王線 / 芦花公園駅 徒歩11分
							（電車ルート案内）
										
				京王井の頭線 / 高井戸駅 徒歩15分
									（電車ルート案内）
												","
			東京都世田谷区上北沢５丁目
							（地図を見る）
					",43.26万円,"7,450円","4,440円",武蔵野グリーンハイツ,ＲＣ,27戸,"有 15,000円/月","有 1,000円/月","
									－
							",所有権,"
									全部委託・巡回管理（日本ハウズイング㈱）
						"
"1,280万円",6階建 / 3階,"1976年6月
(築45年)",24.91m²,１ＤＫ,"
			小田急小田原線 / 祖師ヶ谷大蔵駅 徒歩11分
							（電車ルート案内）
											","
			東京都世田谷区砧４丁目
							（地図を見る）
					",51.39万円,"5,800円","9,600円", ,ＲＣ,63戸,－,－,"
									－
							",所有権,"
									全部委託・日勤管理（トーメン建物管理株式会社）
						"
"1,280万円",8階建 / 7階,"1981年3月
(築40年3ヶ月)",23.45m²,ワンルーム,"
			東京メトロ日比谷線 / 仲御徒町駅 徒歩3分
							（電車ルート案内）
										
				ＪＲ山手線 / 御徒町駅 徒歩5分
									（電車ルート案内）
														
				都営大江戸線 / 新御徒町駅 徒歩7分
									（電車ルート案内）
									","
			東京都台東区台東４丁目
							（地図を見る）
					",54.59万円,"6,660円","6,370円",台東マンション,鉄骨造,23戸,－,－,"
									－
							",所有権,"
									巡回管理
						"
"1,280万円",11階建 / 5階,"1969年1月
(築52年5ヶ月)",31.20m²,ワンルーム,"
			東京メトロ銀座線 / 田原町駅 徒歩5分
							（電車ルート案内）
										
				東京メトロ銀座線 / 稲荷町駅 徒歩5分
									（電車ルート案内）
														
				ＪＲ山手線 / 上野駅 徒歩15分
									（電車ルート案内）
									","
			東京都台東区松が谷１丁目
							（地図を見る）
					",41.03万円,"4,555円","10,015円",ニュー松が谷マンション,ＳＲＣ,90戸,"【水回り】
水回りの位置変更/キッチン/浴室/トイレ/洗面所
【内装】
内装全面（床・壁・天井・建具）/間取り変更・スケルトン/収納",,有,有,旧法賃借権
"1,280万円",7階建 / 2階,"1989年1月
(築32年5ヶ月)",55.80m²,２ＬＤＫ,"
			西武拝島線 / 武蔵砂川駅 徒歩8分
							（電車ルート案内）
										
				ＪＲ中央線 / 立川駅【バス】 24分 大南 停歩6分
									（電車ルート案内）
														
				西武拝島線 / 玉川上水駅 徒歩30分
									（電車ルート案内）
									","
			東京都立川市上砂町５丁目
							（地図を見る）
					",22.94万円,"7,100円","12,830円", ,ＲＣ,119戸,－,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"1,280万円",7階建 / 2階,"1989年1月
(築32年5ヶ月)",55.80m²,２ＬＤＫ,"
			西武拝島線 / 武蔵砂川駅 徒歩10分
							（電車ルート案内）
										
				多摩モノレール / 玉川上水駅 徒歩35分
									（電車ルート案内）
														
				多摩モノレール / 桜街道駅 徒歩34分
									（電車ルート案内）
									","
			東京都立川市上砂町５丁目
							（地図を見る）
					",22.94万円,"7,100円","12,830円",ライオンズマンション武蔵砂川,ＲＣ,－,空無,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"1,280万円",11階建 / 9階,"1974年12月
(築46年6ヶ月)",12.98m²,ワンルーム,"
			東京メトロ日比谷線 / 八丁堀駅 徒歩4分
							（電車ルート案内）
										
				東京メトロ日比谷線 / 茅場町駅 徒歩8分
									（電車ルート案内）
														
				ＪＲ山手線 / 東京駅 徒歩20分
									（電車ルート案内）
									","
			東京都中央区新川２丁目
							（地図を見る）
					",98.62万円,"6,035円","2,750円",八丁堀東豊エステート,ＳＲＣ,121戸,－,－,"
									－
							",所有権,"
									全部委託・日勤管理（相互整美株式会社）
						"
"1,280万円",4階建 / 4階,"1979年8月
(築41年10ヶ月)",42.79m²,２ＤＫ,"
			京王相模原線 / 京王多摩川駅 徒歩3分
							（電車ルート案内）
										
				京王線 / 調布駅 徒歩18分
									（電車ルート案内）
												","
			東京都調布市多摩川５丁目
							（地図を見る）
					",29.92万円,"7,200円",－,多摩川パークハイム,ＲＣ,14戸,無,－,"
									－
							",所有権,"
									自主管理
						"
"1,280万円",8階建 / 2階,"1982年1月
(築39年5ヶ月)",22.76m²,ワンルーム,"
			京王線 / 調布駅 徒歩3分
							（電車ルート案内）
											","
			東京都調布市布田１丁目
					",56.24万円,"2,970円","4,590円",ダイアパレス調布,ＳＲＣ,162戸,無,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"1,280万円",地上9階地下1階建 / 3階,"1978年10月
(築42年8ヶ月)",26.13m²,１ＤＫ,"
			東京メトロ丸ノ内線 / 新大塚駅 徒歩1分
							（電車ルート案内）
										
				ＪＲ山手線 / 大塚駅 徒歩8分
									（電車ルート案内）
														
				都電荒川線 / 大塚駅前駅 徒歩8分
									（電車ルート案内）
									","
			東京都豊島区南大塚２丁目
							（地図を見る）
					",48.99万円,"10,265円","9,400円",アルカディア新大塚,ＳＲＣ,52戸,空無,無,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"1,280万円",6階建 / 3階,"1985年3月
(築36年3ヶ月)",22.12m²,ワンルーム,"
			東京メトロ東西線 / 落合駅 徒歩3分
							（電車ルート案内）
										
				ＪＲ総武線 / 東中野駅 徒歩8分
									（電車ルート案内）
														
				都営大江戸線 / 東中野駅 徒歩8分
									（電車ルート案内）
									","
			東京都中野区東中野５丁目
							（地図を見る）
					",57.87万円,"4,400円","11,320円", ,ＲＣ,40戸,無,－,"
															相談												",所有権,"
									全部委託・日勤管理（名鉄コミュニティライフ㈱）
						"
"1,280万円",地上6階地下4階建 / 3階,"1985年3月
(築36年3ヶ月)",22.12m²,ワンルーム,"
			ＪＲ総武線 / 東中野駅 徒歩8分
							（電車ルート案内）
										
				東京メトロ東西線 / 落合駅 徒歩3分
									（電車ルート案内）
												","
			東京都中野区東中野５丁目
							（地図を見る）
					",57.87万円,"4,400円","11,320円",メイツ東中野,ＲＣ,40戸,無,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
"1,280万円",8階建 / 4階,"1971年11月
(築49年7ヶ月)",24.16m²,ワンルーム,"
			東京メトロ丸ノ内方南支線 / 中野富士見町駅 徒歩5分
							（電車ルート案内）
										
				東京メトロ丸ノ内線 / 新中野駅 徒歩9分
									（電車ルート案内）
														
				都営大江戸線 / 西新宿五丁目駅 徒歩23分
									（電車ルート案内）
									","
			東京都中野区本町５丁目
							（地図を見る）
					",52.99万円,"4,000円","6,800円",三田新中野コーポ,ＲＣ,41戸,空無,－,"
									－
							",所有権,"
									自主管理
						"
"1,280万円",8階建 / 4階,"1971年11月
(築49年7ヶ月)",24.16m²,ワンルーム,"
			東京メトロ丸ノ内方南支線 / 中野富士見町駅 徒歩5分
							（電車ルート案内）
										
				東京メトロ丸ノ内線 / 新中野駅 徒歩9分
									（電車ルート案内）
														
				都営大江戸線 / 西新宿五丁目駅 徒歩23分
									（電車ルート案内）
									","
			東京都中野区本町５丁目
							（地図を見る）
					",52.99万円,"4,000円","6,800円",三田新中野コーポ,ＲＣ,－,－,－,"
									－
							",所有権,"
									自主管理
						"
"1,280万円",8階建 / 4階,"1971年11月
(築49年7ヶ月)",24.16m²,ワンルーム,"
			東京メトロ丸ノ内方南支線 / 中野富士見町駅 徒歩5分
							（電車ルート案内）
										
				東京メトロ丸ノ内方南支線 / 中野新橋駅 徒歩7分
									（電車ルート案内）
														
				東京メトロ丸ノ内線 / 新中野駅 徒歩8分
									（電車ルート案内）
									","
			東京都中野区本町５丁目
							（地図を見る）
					",52.99万円,"4,000円","6,800円",三田新中野コーポ,ＲＣ,40戸,－,－,"
									－
							",所有権,"
									自主管理
						"
"1,280万円",8階建 / 4階,"1971年11月
(築49年7ヶ月)",24.16m²,ワンルーム,"
			東京メトロ丸ノ内方南支線 / 中野富士見町駅 徒歩5分
							（電車ルート案内）
											","
			東京都中野区本町５丁目
							（地図を見る）
					",52.99万円,"4,000円","6,800円",三田新中野コーポ,ＲＣ,41戸,無,－,"
									－
							",所有権,"
									自主管理
						"
"1,280万円",8階建 / 4階,"1971年11月
(築49年7ヶ月)",24.16m²,ワンルーム,"
			東京メトロ丸ノ内方南支線 / 中野富士見町駅 徒歩5分
							（電車ルート案内）
										
				東京メトロ丸ノ内方南支線 / 中野新橋駅 徒歩8分
									（電車ルート案内）
														
				東京メトロ丸ノ内線 / 新中野駅 徒歩9分
									（電車ルート案内）
									","
			東京都中野区本町５丁目
							（地図を見る）
					",52.99万円,"4,000円","6,800円",三田新中野コーポ,ＲＣ,41戸,無,－,"
									－
							",所有権,"
									自主管理
						"
"1,280万円",9階建 / 4階,"1976年11月
(築44年7ヶ月)",47.93m²,２ＬＤＫ,"
			西武池袋線 / 保谷駅 徒歩3分
							（電車ルート案内）
											","
			東京都西東京市東町３丁目
							（地図を見る）
					",26.71万円,"6,700円","11,000円",保谷陵雲閣マンション,ＲＣ,42戸,無,－,"
									－
							",所有権,"
									自主管理
						"
"1,280万円",5階建 / 1階,"1996年4月
(築25年2ヶ月)",20.20m²,１Ｋ,"
			西武池袋線 / 石神井公園駅 徒歩4分
							（電車ルート案内）
											","
			東京都練馬区石神井町３丁目
							（地図を見る）
					",63.37万円,"8,000円","2,400円",ルーブル石神井公園,ＲＣ,25戸,無,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
"1,280万円",10階建 / 10階,"1988年12月
(築32年6ヶ月)",17.08m²,ワンルーム,"
			西武池袋線 / 江古田駅 徒歩3分
							（電車ルート案内）
										
				都営大江戸線 / 新江古田駅 徒歩6分
									（電車ルート案内）
														
				西武有楽町線 / 新桜台駅 徒歩9分
									（電車ルート案内）
									","
			東京都練馬区豊玉上１丁目
							（地図を見る）
					",74.95万円,"6,900円","6,300円",江古田ホワイトハイツ １００５,ＳＲＣ,52戸,無,無,"
									－
							",所有権,"
									全部委託・巡回管理（日本ハウズイング）
						"
"1,280万円",5階建 / 4階,"1976年3月
(築45年3ヶ月)",66.63m²,３ＬＤＫ,"
			多摩モノレール / 松が谷駅 徒歩5分
							（電車ルート案内）
										
				小田急多摩線 / 小田急多摩センター駅 徒歩15分
									（電車ルート案内）
														
				京王相模原線 / 京王多摩センター駅 徒歩15分
									（電車ルート案内）
									","
			東京都八王子市鹿島
							（地図を見る）
					",19.22万円,"7,000円","8,000円",鹿島団地８－１号棟,ＲＣ,340戸,"有 8,000円/月",有,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"1,280万円",5階建 / 4階,"1976年3月
(築45年3ヶ月)",66.63m²,３ＬＤＫ,"
			多摩モノレール / 松が谷駅 徒歩5分
							（電車ルート案内）
										
				京王相模原線 / 京王多摩センター駅 徒歩15分
									（電車ルート案内）
														
				小田急多摩線 / 小田急多摩センター駅 徒歩15分
									（電車ルート案内）
									","
			東京都八王子市鹿島
					",19.22万円,"7,000円","8,000円",鹿島団地８－１号棟,ＲＣ,340戸,"有 8,000円/月",－,"
									－
							",所有権,"
									一部委託・日勤管理
						"
