,price,occupancy_area,room_layout,address,management_expenses,reserve_fund_for_repairs,building_structure,total_number_of_houses,parking,bike_parking,pet,land_rights,management,rank,floor_number,building_age,route,station,walk_distance,running_cost,parking_cost
4575,99800000,129.51,３ＬＤＫ,江東区,22200,15930,ＳＲＣ,700,有,,,所有権,全部委託・日勤管理,17,17,12,ＪＲ総武線, 平井駅,11,38130,22000
4576,102500000,96.46,２ＬＤＫ,文京区,46100,26040,ＲＣ,18,有,,,所有権,全部委託・日勤管理,6,2,30,東京メトロ丸ノ内線, 茗荷谷駅,7,72140,
4577,102500000,70.25,３ＬＤＫ,港区,21180,10630,ＲＣ,883,,,,所有権,全部委託・日勤管理,34,26,5,ＪＲ山手線, 田町駅,10,31810,
4578,102800000,86.68,２ＳＬＤＫ,江東区,22970,7890,ＲＣ,693,有,,相談,所有権,全部委託・日勤管理,22,21,4,東京メトロ有楽町線, 豊洲駅,5,30860,28000
4579,102800000,75.32,３ＬＤＫ,世田谷区,13560,12650,ＲＣ,195,有,,相談,所有権,全部委託・日勤管理,13,4,8,東急田園都市線, 池尻大橋駅,7,26210,30000
4580,102800000,70.35,３ＬＤＫ,港区,21190,10630,ＲＣ,883,有,,,所有権,全部委託・日勤管理,34,17,5,ＪＲ山手線, 田町駅,10,31820,44000
4581,102800000,70.35,３ＬＤＫ,港区,21190,10630,ＲＣ,883,有,,相談,所有権,全部委託・常駐管理,34,17,5,ＪＲ山手線, 田町駅,10,31820,43500
4582,102800000,70.35,３ＬＤＫ,港区,21190,10630,ＲＣ,883,有,,,所有権,,34,17,5,ＪＲ山手線, 田町駅,10,31820,
4583,102800000,70.35,３ＬＤＫ,港区,21190,10630,ＲＣ,883,有,有,相談,所有権,全部委託・常駐管理,34,17,5,ＪＲ山手線, 田町駅,10,31820,44000
4584,103000000,77.08,２ＬＤＫ,品川区,24120,11570,ＲＣ,736,,,,所有権,,44,17,11,ＪＲ山手線, 大崎駅,6,35690,
4585,103000000,92.22,２ＬＤＫ,新宿区,27500,17800,ＲＣ,19,有,無,相談,所有権,全部委託・日勤管理,4,2,31,東京メトロ有楽町線, 市ヶ谷駅,7,45300,50000
4586,103000000,59.52,２ＬＤＫ,港区,19280,20520,ＲＣ,98,,,相談,所有権,,24,19,8,都営三田線, 芝公園駅,4,39800,
4587,103600000,90.1,３ＬＤＫ,中央区,18470,16420,ＲＣ,648,空無,,,所有権,全部委託・日勤管理,58,40,13,都営大江戸線, 勝どき駅,5,34890,
4588,103800000,56.68,２ＬＤＫ,千代田区,20700,7000,ＲＣ,27,空無,,,所有権,全部委託・日勤管理,10,7,6,都営新宿線, 市ヶ谷駅,3,27700,
4589,103800000,83.52,３ＬＤＫ,豊島区,17774,19400,ＲＣ,159,,,相談,所有権,全部委託・日勤管理,21,16,14,東京メトロ副都心線, 雑司が谷駅,7,37174,
4590,104000000,73.24,３ＬＤＫ,品川区,22314,11700,ＳＲＣ,204,,,相談,所有権,,25,19,7,ＪＲ山手線, 大崎駅,4,34014,
4591,104000000,64.97,２ＬＤＫ,中央区,18100,6500,ＲＣ,45,空無,,相談,所有権,全部委託・日勤管理,12,2,4,都営新宿線, 浜町駅,1,24600,
4592,104000000,64.97,２ＬＤＫ,中央区,18100,6500,ＲＣ,45,,,相談,所有権,,12,10,4,都営新宿線, 浜町駅,1,24600,
4593,104000000,62.1,１ＬＤＫ,港区,24810,13050,ＲＣ,164,,,相談,所有権,全部委託・日勤管理,25,17,16,東京メトロ南北線, 麻布十番駅,1,37860,
